"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Number Missing","Total Dead and Missing","Number of survivors","Number of Female","Number of Male","Number of Children","Cause of death","Location Description","Information Source","Location","Information Reliability","Migrant Route","URL","UNSD Geographical Grouping"
"30873","Central America","March 20, 2017","2017","Mar","1","","1","","","1","","Shot","Train tracks near Francisco Rueda, Tabasco, Mexico","El Heraldo","17.833638600000, -93.936273700000","Partially verified","","http://bit.ly/2nraZWm","Central America"
"30874","Central America","March 20, 2017","2017","Mar","2","","2","","","2","","Murdered","Coatzacoalcos, Veracruz, Mexico","Pulso Sureste","18.134625300000, -94.497966400000","Partially verified","","http://bit.ly/2o0cp7X, http://bit.ly/2nU9YD2","Central America"
"30869","Central America","March 19, 2017","2017","Mar","1","","1","8","","","1","Vehicle Accident","Near Palo Gordo, La Trinitaria, Chiapas, Mexico","La Journada","16.121434600000, -92.061876200000","Partially verified","","http://bit.ly/2oW8X1K","Central America"
"30870","Horn of Africa","March 19, 2017","2017","Mar","2","","2","","1","1","","Shot","Unspecified location in the Gulf of Aden near the coast of Shabwa, Yemen","UNHCR","13.219505321076, 45.833201459375","Verified","","","Uncategorized"
"30871","Mediterranean","March 19, 2017","2017","Mar","3","","3","215","","","","Drowning","Unspecified location off the coast of Zuwara, Libya","IOM Libya","33.010693000000, 12.047669600000","Verified","Central Mediterranean","","Uncategorized"
"30868","Mediterranean","March 18, 2017","2017","Mar","","8","8","","","","","Drowning","Unspecified location between North Africa and Italy","IOM Italy","35.099139200000, 13.048850200000","Verified","Central Mediterranean","","Uncategorized"
"30866","Horn of Africa","March 17, 2017","2017","Mar","42","","42","115","","","","Attacked by Apache Helicopter","Unspecified location in Red Sea between Yemen and Sudan","IOM Yemen, the Guardian","18.812277200000, 37.969192700000","Verified","","http://bit.ly/2mzlNht","Uncategorized"
"30867","Central America","March 17, 2017","2017","Mar","1","","1","","","1","","Excessive Physical Abuse","Train tracks on Coca Cola Bridge, Saltillo, Coahuila, Mexico","Vanguardia","25.430372300000, -101.053785100000","Partially verified","Central America to US","http://bit.ly/2nVyMLd","Central America"
"43931","US-Mexico Border","March 16, 2017","2017","Mar","1","","1","","","","","Unknown (skeletal remains)","Los Compadres Ranch, Brooks County, Texas, USA","South Texas Human Rights Center","27.029752301332, -98.296828905859","Verified","","","Northern America"
"30864","Central America","March 15, 2017","2017","Mar","1","","1","","","1","","Train Accident","Train tracks near Chahuites, Tehuantepec, Oaxaca, Mexico","Puente Libre","16.320638200000, -95.257700100000","Partially verified","Central America to US","http://bit.ly/2nv4hfOand, http://bit.ly/2mvf8pi","Central America"
"30865","US-Mexico Border","March 15, 2017","2017","Mar","1","","1","","","1","","Unknown (skeletal remains)","Pima County (see spreadsheet for exact location)","Pima County Office of the Medical Examiner","31.875343400000, -112.547046600000","Verified","","","Northern America"
"30863","US-Mexico Border","March 13, 2017","2017","Mar","2","","2","","","2","","Drowning","Rio Bravo, Reynosa - Díaz, Mexico","El manana","26.052567600000, -98.366243400000","Partially verified","","http://sumo.ly/x3vZ","Central America"
"30862","Mediterranean","March 11, 2017","2017","Mar","1","","1","","","","","Unknown","Body recovered from Sabratha, Libya","IOM Libya","32.791284000000, 12.415264900000","Verified","Central Mediterranean","","Uncategorized"
"43897","Europe","March 11, 2017","2017","Mar","1","","1","","","1","","Hit by truck","A16 motorway near Grande-Synthe, Dunkirk, France","Le Phare Dunkerquois","50.994751460549, 2.277857761719","Partially verified","","http://bit.ly/2zED8wd, http://bit.ly/2zCoPbr","Western Europe"
"30860","US-Mexico Border","March 10, 2017","2017","Mar","1","","1","","","1","","Unknown (skeletal remains)","Pima County (see spreadsheet for exact location)","Pima County Office of the Medical Examiner","31.875343400000, -112.547046600000","Verified","","","Northern America"
"30861","US-Mexico Border","March 10, 2017","2017","Mar","1","","1","","","1","","Unknown (skeletal remains)","Pima County (see spreadsheet for exact location)","Pima County Office of the Medical Examiner","31.875343400000, -112.547046600000","Verified","","","Northern America"
"30859","Mediterranean","March 09, 2017","2017","Mar","11","","11","","","","","Drowning","Bodies recovered on Tallil Seyahi Beach, near Sabratha, Libya","UNHCR Libya","32.791284000000, 12.415264900000","Partially verified","Central Mediterranean","","Uncategorized"
"30858","Mediterranean","March 08, 2017","2017","Mar","3","","3","","","","","Drowning","Bodies recovered on the coast of Al Khums, Libya","IOM Libya","32.656753600000, 14.266525000000","Verified","Central Mediterranean","","Uncategorized"
"30856","Central America","March 07, 2017","2017","Mar","1","","1","","","1","","Vehicle Accident","Km 12, Highway Nejapa-Quezaltepeque, El Salvador","La Noticia SV & La prensa gráfica","13.819775100000, -89.258734500000","Partially verified","","http://bit.ly/2lGwm6x, http://bit.ly/2m1QkUO","Central America"
"30857","US-Mexico Border","March 07, 2017","2017","Mar","1","","1","","","1","","Unknown (skeletal remains)","Pima County (see spreadsheet for exact location)","Pima County Office of the Medical Examiner","31.875343400000, -112.547046600000","Verified","","","Northern America"
"30855","US-Mexico Border","March 06, 2017","2017","Mar","1","","1","","","1","","Drowning","Rio Bravo, Near Internacional Reynosa-Hidalgo Bridge, Reynosa, Tamaulipas, Mexico","La prensa.mx","26.052567600000, -98.366243400000","Partially verified","","http://bit.ly/2n0nhm1, http://bit.ly/2mwd9DR","Central America"
"30854","North Africa","March 05, 2017","2017","Mar","22","","22","","","","","Shot","Sabratha, Libya","IOM Libya","32.795960600000, 12.402254700000","Verified","","","Northern Africa"
"30853","Mediterranean","March 04, 2017","2017","Mar","","6","6","178","","","","Drowning","Unspecified location between North Africa and Italy","IOM Italy","35.099139200000, 13.048850200000","Verified","Central Mediterranean","","Uncategorized"
"30849","Mediterranean","March 03, 2017","2017","Mar","1","","1","","","1","","Drowning","Body retrieved in Playa Camposoto, San Fernando, Cádiz","Asociación Pro Derechos Humanos de Andalucía, La Voz de Cádiz","36.418759500000, -6.242722000000","Partially verified","Western Mediterranean","http://bit.ly/2rPJUjv, http://bit.ly/2tMG5YK","Uncategorized"
